scenario,eirp_dbm,interferer_count,mean_signal_dbm,mean_interference_dbm,noise_dbm,mean_sinr_db,mean_linear_sinr_db,median_sinr_db,p05_sinr_db,p95_sinr_db,outage_lt_0_db,outage_lt_3_db
baseline,50.0,13,-107.13822235273798,-99.47184402987565,-100.01029995663981,-10.323064971130332,-9.77529080975679,-10.31091324473909,-13.972607095954707,-6.7033175872093205,1.0,1.0
baseline,50.0,14,-107.13822235273798,-99.13801705473638,-100.01029995663981,-10.505175480615822,-9.957294268796852,-10.475095870979327,-14.136663561098576,-6.931435943145091,1.0,1.0
baseline,50.0,15,-107.13822235273798,-98.84054717156496,-100.01029995663981,-10.670822584645768,-10.121237014840105,-10.667370248722207,-14.286650764570552,-7.128459274175491,1.0,1.0
baseline,50.0,16,-107.13822235273798,-98.527397328263,-100.01029995663981,-10.847832849981115,-10.291397952910481,-10.858983077713429,-14.480662149417618,-7.25486824313895,1.0,1.0
baseline,50.0,17,-107.13822235273798,-98.27265898359215,-100.01029995663981,-11.003892997473434,-10.453024748693625,-10.982550074983125,-14.689950529573869,-7.450301757708292,1.0,1.0
baseline,50.0,18,-107.13822235273798,-98.07025685693019,-100.01029995663981,-11.126806908215583,-10.575986872195644,-11.122894007959681,-14.740934806175442,-7.5317743696642045,1.0,1.0
baseline,50.0,19,-107.13822235273798,-97.8212369996284,-100.01029995663981,-11.280542069844904,-10.734146261255974,-11.26111443155451,-14.941812219663467,-7.757022338758898,1.0,1.0
baseline,50.0,20,-107.13822235273798,-97.57228509902227,-100.01029995663981,-11.437088946213532,-10.881822923149214,-11.418124334214962,-15.084614965186883,-7.821509437649546,1.0,1.0
baseline,50.0,21,-107.13822235273798,-97.36621897462626,-100.01029995663981,-11.568223629446873,-11.01803435279415,-11.567077150381236,-15.208838183523362,-7.97084702572534,1.0,1.0
baseline,50.0,22,-107.13822235273798,-97.1428506268362,-100.01029995663981,-11.71313818516125,-11.16588998967038,-11.676963050181874,-15.31016793157743,-8.15827398849633,1.0,1.0
baseline,50.0,23,-107.13822235273798,-96.9538794150431,-100.01029995663981,-11.843230164294376,-11.29968179569898,-11.826829271848672,-15.450199392731857,-8.300100865694695,1.0,1.0
baseline,50.0,24,-107.13822235273798,-96.78065786914233,-100.01029995663981,-11.961701398356851,-11.408723545345651,-11.9631644726115,-15.56742933745725,-8.360672466623646,1.0,1.0
baseline,50.0,25,-107.13822235273798,-96.60042098109227,-100.01029995663981,-12.085727145121867,-11.542117888054948,-12.053000684985612,-15.668900809677096,-8.491114031032186,1.0,1.0
baseline,50.0,26,-107.13822235273798,-96.43588021524721,-100.01029995663981,-12.199664398636978,-11.663357660976953,-12.192964143949425,-15.803921295171051,-8.629363585388932,1.0,1.0
baseline,50.0,27,-107.13822235273798,-96.27194428029114,-100.01029995663981,-12.313379473429436,-11.768592994416538,-12.318166784326264,-15.847850418119176,-8.772881500105033,1.0,1.0
baseline,50.0,28,-107.13822235273798,-96.12394915844611,-100.01029995663981,-12.424359294222855,-11.880774007998621,-12.410583777097083,-15.99645537651071,-8.849406328469263,1.0,1.0
baseline,50.0,29,-107.13822235273798,-95.97263657990068,-100.01029995663981,-12.531210028300752,-11.99192579726001,-12.550055792292756,-16.129147247856345,-8.96901139658165,1.0,1.0
baseline,50.0,30,-107.13822235273798,-95.80470208833744,-100.01029995663981,-12.653320853054465,-12.11653945909455,-12.653024368498363,-16.244302458550653,-9.132797268119361,1.0,1.0
baseline,50.0,31,-107.13822235273798,-95.66786580456976,-100.01029995663981,-12.753519881304763,-12.216966320673382,-12.76397060701788,-16.33241175732524,-9.195682115072264,1.0,1.0
baseline,50.0,32,-107.13822235273798,-95.5255058995047,-100.01029995663981,-12.858233753218775,-12.327453163658602,-12.84792581014868,-16.436713115196003,-9.339752389755002,1.0,1.0
baseline,50.0,33,-107.13822235273798,-95.3984145936781,-100.01029995663981,-12.953390036456904,-12.417979212484187,-12.96614424602987,-16.518343707430688,-9.419218702904645,1.0,1.0
baseline,50.0,34,-107.13822235273798,-95.28587308690192,-100.01029995663981,-13.038042004770942,-12.500588969042006,-13.0477578646824,-16.623778588925553,-9.48218880021239,1.0,1.0
baseline,50.0,35,-107.13822235273798,-95.13682779870402,-100.01029995663981,-13.15051038825006,-12.608092869597737,-13.166576585716214,-16.693541252584506,-9.562989503063724,1.0,1.0
baseline,50.0,36,-107.13822235273798,-95.03010813151924,-100.01029995663981,-13.231396247581957,-12.69017942306557,-13.246383368116067,-16.84761299935878,-9.634756462424564,1.0,1.0
baseline,50.0,37,-107.13822235273798,-94.91238434255976,-100.01029995663981,-13.323861483410234,-12.791449481016159,-13.342240899124558,-16.898789683752128,-9.78302754050048,1.0,1.0
